排名,期刊名称,JCR年份,期刊缩写,出版商,ISSN,eISSN,总引用数,总文章数,可引用文章数,被引半衰期,引用半衰期,影响因子,5年影响因子,去除自引影响因子,引文影响力指标(JCI),JIF分区,JIF排名,2025中科院分区,Top期刊,开放获取
1,CA-A CANCER JOURNAL FOR CLINICIANS,2024,CA-CANCER J CLIN,WILEY,0007-9235,1542-4863,71799,6,14,3.7,4.7,232.4,353.0,232.2,112.16,Q1,1/326,1,是,是
2,NATURE REVIEWS MICROBIOLOGY,2024,NAT REV MICROBIOL,NATURE PORTFOLIO,1740-1526,1740-1534,61109,0,49,6.7,5.4,103.3,99.1,102.8,9.86,Q1,1/163,1,是,否
3,NATURE REVIEWS DRUG DISCOVERY,2024,NAT REV DRUG DISCOV,NATURE PORTFOLIO,1474-1776,1474-1784,52833,4,36,6.5,5.4,101.8,129.8,101.1,13.95,Q1,1/352,1,是,否
4,NATURE REVIEWS MOLECULAR CELL BIOLOGY,2024,NAT REV MOL CELL BIO,NATURE PORTFOLIO,1471-0072,1471-0080,73135,0,49,7.1,6.9,90.2,128.7,89.6,7.94,Q1,1/204,1,是,否
5,Kidney International Supplements,2024,KIDNEY INT SUPPL,ELSEVIER SCIENCE INC,2157-1724,2157-1716,3196,9,9,11.0,5.6,89.6,26.0,89.6,5.88,Q1,1/133,2,否,否
6,LANCET,2024,LANCET,ELSEVIER SCIENCE INC,0140-6736,1474-547X,347563,198,251,7.8,4.5,88.5,104.8,87.1,23.28,Q1,1/332,1,是,否
7,Nature Reviews Materials,2024,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,43197,10,60,4.9,5.0,86.2,99.8,85.9,4.42,Q1,1/460,1,是,否
8,Nature Reviews Clinical Oncology,2024,NAT REV CLIN ONCOL,NATURE PORTFOLIO,1759-4774,1759-4782,33355,3,48,4.6,4.6,82.2,89.9,81.7,11.95,Q1,2/326,1,是,否
9,NEW ENGLAND JOURNAL OF MEDICINE,2024,NEW ENGL J MED,MASSACHUSETTS MEDICAL SOC,0028-4793,1533-4406,397323,246,293,8.4,5.3,78.5,84.9,77.9,23.30,Q1,2/332,1,是,否
10,Nature Reviews Earth & Environment,2024,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,14133,3,52,3.0,7.2,71.5,73.7,71.1,5.96,Q1,1/374,1,是,否
11,NATURE REVIEWS CANCER,2024,NAT REV CANCER,NATURE PORTFOLIO,1474-175X,1474-1768,60054,17,63,9.4,5.4,66.8,81.0,66.4,9.04,Q1,3/326,1,是,否
12,World Psychiatry,2024,WORLD PSYCHIATRY,WILEY,1723-8617,2051-5545,13954,21,21,6.3,6.4,65.8,60.0,60.7,12.18,Q1,1/288,1,是,否
13,ANNALS OF ONCOLOGY,2024,ANN ONCOL,ELSEVIER,0923-7534,1569-8041,64093,74,80,6.3,4.3,65.4,46.8,64.5,8.38,Q1,4/326,1,是,否
14,Living Reviews in Relativity,2024,LIVING REV RELATIV,SPRINGER INT PUBL AG,2367-3613,1433-8351,5042,0,6,11.0,13.3,62.5,52.4,62.5,5.86,Q1,1/31,1,是,是
15,NATURE REVIEWS IMMUNOLOGY,2024,NAT REV IMMUNOL,NATURE PORTFOLIO,1474-1733,1474-1741,64754,76,124,8.6,6.8,60.9,77.6,60.5,7.86,Q1,1/183,1,是,否
16,Nature Reviews Disease Primers,2024,NAT REV DIS PRIMERS,NATURE PORTFOLIO,2056-676X,2056-676X,37841,4,42,5.8,6.9,60.6,104.8,60.6,21.18,Q1,3/332,1,是,否
17,MMWR Recommendations and Reports,2024,MMWR RECOMM REP,CENTERS DISEASE CONTROL & PREVENTION,1057-5987,1545-8601,3411,6,6,8.0,14.9,60.1,50.0,60.0,10.91,Q1,1/419,1,是,否
17,Nature Energy,2024,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,55904,214,222,4.8,4.7,60.1,68.9,59.4,8.48,Q1,2/460,1,是,否
19,Nature Reviews Methods Primers,2024,NAT REV METHOD PRIME,SPRINGERNATURE,N/A,2662-8449,9349,26,64,2.7,6.5,56.0,66.9,55.8,9.39,Q1,1/135,1,是,否
20,CHEMICAL REVIEWS,2024,CHEM REV,AMER CHEMICAL SOC,0009-2665,1520-6890,246622,0,212,8.3,7.4,55.8,67.5,55.3,4.03,Q1,1/239,1,是,否
21,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2024,JAMA-J AM MED ASSOC,AMER MEDICAL ASSOC,0098-7484,1538-3598,194087,180,232,8.6,5.5,55.0,64.7,53.9,11.47,Q1,4/332,1,是,否
22,Signal Transduction and Targeted Therapy,2024,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,51196,156,245,2.8,6.0,52.7,52.2,52.1,5.04,Q1,1/319,1,是,是
23,NATURE REVIEWS GENETICS,2024,NAT REV GENET,NATURE PORTFOLIO,1471-0056,1471-0064,42931,0,54,9.1,5.9,52.0,57.1,51.5,6.66,Q1,1/191,1,是,否
24,Nature Reviews Chemistry,2024,NAT REV CHEM,NATURE PORTFOLIO,N/A,2397-3358,16326,0,48,4.1,6.4,51.7,49.4,51.4,3.28,Q1,2/239,1,是,否
25,Nature Reviews Gastroenterology & Hepatology,2024,NAT REV GASTRO HEPAT,NATURE PORTFOLIO,1759-5045,1759-5053,30358,0,48,5.3,5.9,51.0,72.4,50.4,8.10,Q1,1/147,1,是,否
26,NATURE MEDICINE,2024,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,133694,325,343,6.3,5.0,50.0,52.4,49.2,11.03,Q1,1/195,1,是,否
27,MMWR Surveillance Summaries,2024,MMWR SURVEILL SUMM,CENTERS DISEASE CONTROL & PREVENTION,1545-8636,1545-8636,3499,3,3,6.1,N/A,49.8,34.1,49.8,15.95,Q1,2/419,1,是,否
28,NATURE,2024,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,965275,1361,1393,10.0,7.2,48.5,55.0,47.7,11.12,Q1,2/135,1,是,否
29,IEEE Communications Surveys and Tutorials,2024,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,N/A,1553-877X,33160,74,74,5.2,5.2,46.7,42.8,45.6,10.20,Q1,1/258,1,是,否
30,SCIENCE,2024,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,785913,768,800,11.5,7.5,45.8,49.7,45.3,8.98,Q1,3/135,1,是,否
31,LANCET NEUROLOGY,2024,LANCET NEUROL,ELSEVIER SCIENCE INC,1474-4422,1474-4465,52666,61,79,7.2,4.6,45.5,56.2,44.6,12.19,Q1,1/285,1,是,否
32,REVIEWS OF MODERN PHYSICS,2024,REV MOD PHYS,AMER PHYSICAL SOC,0034-6861,1539-0756,65614,0,32,14.9,9.9,44.8,56.3,44.6,4.08,Q1,1/114,1,是,否
33,Nature Catalysis,2024,NAT CATAL,NATURE PORTFOLIO,2520-1158,2520-1158,32070,156,165,4.1,6.5,44.6,47.4,44.2,5.63,Q1,1/185,1,是,否
34,CANCER CELL,2024,CANCER CELL,CELL PRESS,1535-6108,1878-3686,56241,105,112,7.0,5.8,44.5,47.2,43.9,8.11,Q1,5/326,1,是,否
35,Nature Reviews Cardiology,2024,NAT REV CARDIOL,NATURE PORTFOLIO,1759-5002,1759-5010,22153,4,52,4.9,7.0,44.2,52.9,43.7,8.32,Q1,1/230,1,是,否
36,BMJ-British Medical Journal,2024,BMJ-BRIT MED J,BMJ PUBLISHING GROUP,0959-535X,1756-1833,173910,132,153,8.6,3.9,42.7,76.1,40.4,9.96,Q1,5/332,1,是,否
37,CELL,2024,CELL,CELL PRESS,0092-8674,1097-4172,310873,357,409,9.3,7.3,42.5,48.9,41.9,7.99,Q1,3/319,1,是,否
38,JOURNAL OF CLINICAL ONCOLOGY,2024,J CLIN ONCOL,LIPPINCOTT WILLIAMS & WILKINS,0732-183X,1527-7755,169483,342,365,7.8,5.9,41.9,37.7,41.1,6.68,Q1,6/326,1,是,否
